iter	Logloss
0	0.663174347
1	0.6415360128
2	0.6233334079
3	0.6102198441
4	0.5999280479
5	0.5915380949
6	0.5843196063
7	0.5787949146
8	0.5745095935
9	0.5713260285
10	0.568004426
11	0.565824396
12	0.563925736
13	0.5623855592
14	0.5612744095
15	0.560215111
16	0.5592794592
17	0.5583919053
18	0.5577149413
19	0.5571150372
20	0.5566025715
21	0.556181543
22	0.555734287
23	0.5554343244
24	0.5551225518
25	0.554789399
26	0.5545839385
27	0.5543717741
28	0.5540975874
29	0.5538378339
30	0.5536564657
31	0.5534004098
32	0.5532407445
33	0.5530796003
34	0.5528436398
35	0.552672778
36	0.5525145942
37	0.5523228914
38	0.5521762194
39	0.5520848682
40	0.551962528
41	0.5518412272
42	0.5517489997
43	0.5516435622
44	0.5515595027
45	0.5514687873
46	0.5513425149
47	0.5512228625
48	0.5511443052
49	0.55103553
50	0.5509312164
51	0.5508252692
52	0.5507539235
53	0.5506616547
54	0.5505774994
55	0.5504911689
56	0.550400033
57	0.5502858995
58	0.5501838827
59	0.5501184
60	0.5500506407
61	0.5499710356
62	0.5498729692
63	0.5497923404
64	0.5497066034
65	0.5496317264
66	0.5495361219
67	0.5494051748
68	0.5493343985
69	0.5492589658
70	0.5491948972
71	0.5491340199
72	0.549083292
73	0.5489920331
74	0.5489180918
75	0.5488033172
76	0.5487125735
77	0.5486189794
78	0.5485391119
79	0.5484644159
80	0.5483966226
81	0.5483386042
82	0.5482504828
83	0.5481910664
84	0.5481215868
85	0.5480729334
86	0.5479945746
87	0.5479356889
88	0.5479275149
89	0.5478659843
90	0.5478211494
91	0.5477042191
92	0.5476399247
93	0.5476211026
94	0.5475381755
95	0.5474953472
96	0.5474075526
97	0.5473440954
98	0.5472743995
99	0.5472456024
100	0.5471536187
101	0.5471498812
102	0.5470982762
103	0.5470628563
104	0.5469975617
105	0.54695921
106	0.5468739338
107	0.5468151948
108	0.5467381139
109	0.5466823518
110	0.5466468631
111	0.5465604962
112	0.5464811191
113	0.5463862438
114	0.5463027705
115	0.5462427659
116	0.5462057738
117	0.5461567728
118	0.5460814796
119	0.5460179198
120	0.5459431251
121	0.5459052726
122	0.5458224508
123	0.545767714
124	0.5456859015
125	0.5456228615
126	0.5455559726
127	0.5454847591
128	0.5453808736
129	0.5453457922
130	0.5452659936
131	0.5451774876
132	0.5450952328
133	0.5449748879
134	0.5448931263
135	0.5447928345
136	0.5447874553
137	0.5446960197
138	0.5446460668
139	0.5445510823
140	0.5444631577
141	0.5443960002
142	0.5443783787
143	0.5443125149
144	0.5442478307
145	0.54416819
146	0.5441395601
147	0.5440524357
148	0.5439757588
149	0.5438869946
150	0.5438347086
151	0.5437477642
152	0.5436510042
153	0.5436190649
154	0.543554962
155	0.5435040119
156	0.5434149705
157	0.5433240492
158	0.5433017814
159	0.543267762
160	0.5431682849
161	0.5431052969
162	0.5430246255
163	0.5429676058
164	0.5428462188
165	0.5427736174
166	0.5427021497
167	0.5426049394
168	0.5425518715
169	0.5424580562
170	0.5424036146
171	0.5423402318
172	0.542281416
173	0.5422040524
174	0.5421733814
175	0.5421016593
176	0.5420149501
177	0.5419270646
178	0.5418526187
179	0.5417627533
180	0.5416875289
181	0.5416463207
182	0.5415680105
183	0.5414902881
184	0.5414267052
185	0.54134605
186	0.541314847
187	0.5412608054
188	0.5412383325
189	0.5411793328
190	0.5411147653
191	0.5410336865
192	0.5410301218
193	0.5409171417
194	0.5408704547
195	0.5407810897
196	0.5407130076
197	0.5406469812
198	0.5405506272
199	0.5404785629
200	0.5404312518
201	0.5403571853
202	0.5403043428
203	0.5402274017
204	0.5401722898
205	0.5401231862
206	0.5400483189
207	0.5399470689
208	0.5398729434
209	0.5398128893
210	0.5397358781
211	0.5396754307
212	0.5395811836
213	0.5394956252
214	0.5394226429
215	0.5393457247
216	0.5392836536
217	0.5392053405
218	0.5391456252
219	0.5390671832
220	0.5390435296
221	0.5389502415
222	0.5389178296
223	0.5388673782
224	0.5388050304
225	0.5387291844
226	0.5386536556
227	0.5385998165
228	0.5385361036
229	0.5384711922
230	0.5384318881
231	0.5383693948
232	0.538325199
233	0.5382448294
234	0.5381881188
235	0.5381355536
236	0.5381142408
237	0.5380433934
238	0.5379599458
239	0.5379393436
240	0.5378587012
241	0.5377826749
242	0.5377149519
243	0.5376552887
244	0.537582048
245	0.5375252007
246	0.5374468474
247	0.5373830087
248	0.5373187462
249	0.5372722618
250	0.5372046262
251	0.5371433668
252	0.5371159169
253	0.5370355777
254	0.5370038467
255	0.5369315589
256	0.5368637551
257	0.5367966776
258	0.53674271
259	0.5366884726
260	0.5366290955
261	0.5365642641
262	0.5365013682
263	0.5364672761
264	0.5364241808
265	0.5363894304
266	0.5363259183
267	0.5362508412
268	0.5361854685
269	0.5361132093
270	0.5360493971
271	0.5359908587
272	0.5359513009
273	0.5358783921
274	0.53580004
275	0.5357436356
276	0.5356779896
277	0.5356168213
278	0.5355501468
279	0.5355018676
280	0.5354335572
281	0.5353795939
282	0.5353120435
283	0.5352468584
284	0.5351922578
285	0.5351340864
286	0.5350601316
287	0.5350090472
288	0.5349522538
289	0.534912121
290	0.5348674645
291	0.5348342595
292	0.5347991837
293	0.5347312551
294	0.5346598635
295	0.5346110486
296	0.5345358137
297	0.5344524065
298	0.5343784888
299	0.5342982173
300	0.5342881392
301	0.5342322762
302	0.5341490784
303	0.5340856734
304	0.5340156375
305	0.5340115572
306	0.5339544435
307	0.5338993165
308	0.5338512339
309	0.5337938116
310	0.5337237387
311	0.5336717926
312	0.5336064452
313	0.5335368884
314	0.5334895216
315	0.5334400317
316	0.5333664948
317	0.5332957885
318	0.5332435925
319	0.5331854105
320	0.5331348077
321	0.533131477
322	0.5330742908
323	0.533013345
324	0.5329354562
325	0.5328927121
326	0.5328479326
327	0.5327854706
328	0.5327101263
329	0.5326177981
330	0.5325366106
331	0.5324869474
332	0.5324188866
333	0.5323751398
334	0.5323111364
335	0.5322650281
336	0.5322037344
337	0.5321338715
338	0.5320618487
339	0.5320431495
340	0.5319626694
341	0.5319191683
342	0.531890322
343	0.5318292746
344	0.5318005282
345	0.5317452622
346	0.5316946186
347	0.5316541421
348	0.5316347811
349	0.5315837076
350	0.5315152692
351	0.5314747845
352	0.5314162128
353	0.5313782096
354	0.5313150731
355	0.5312538508
356	0.5311836805
357	0.5311230756
358	0.5310513478
359	0.5309866301
360	0.5309361124
361	0.5308654553
362	0.5308360221
363	0.5307757819
364	0.5307207378
365	0.5306552199
366	0.5306269653
367	0.5305808701
368	0.5305428936
369	0.5305041506
370	0.5304324515
371	0.5303839799
372	0.5303512841
373	0.530289097
374	0.5302547522
375	0.5301911467
376	0.5301516463
377	0.5300995579
378	0.5300623259
379	0.5300221825
380	0.5299554733
381	0.5298795283
382	0.5298244756
383	0.5297566773
384	0.5297000953
385	0.5296482754
386	0.529590888
387	0.5295533989
388	0.5295438712
389	0.5295010965
390	0.5294577836
391	0.5294081271
392	0.5293573917
393	0.5292930967
394	0.5292102464
395	0.5291429788
396	0.5290833781
397	0.5290372126
398	0.5290025357
399	0.5289674286
400	0.5289365625
401	0.528866436
402	0.5288102838
403	0.528754636
404	0.528700267
405	0.5286156667
406	0.5285277597
407	0.5284821346
408	0.5284446086
409	0.5284046176
410	0.5283334712
411	0.5282873331
412	0.5282488435
413	0.5281858007
414	0.5281528814
415	0.5280980667
416	0.5280288357
417	0.5279790426
418	0.5279077394
419	0.5278632984
420	0.5278419934
421	0.5277674909
422	0.5277431943
423	0.527717335
424	0.5276968962
425	0.5276516887
426	0.5275979518
427	0.5275469919
428	0.5275086353
429	0.5274486367
430	0.5273781979
431	0.5273276829
432	0.5272819001
433	0.5272357573
434	0.5272025437
435	0.5271577066
436	0.5270907076
437	0.5270364881
438	0.5269918436
439	0.5269479469
440	0.5268588781
441	0.5268196779
442	0.5267629783
443	0.5267078787
444	0.5266463199
445	0.5266001425
446	0.5265351764
447	0.5264849707
448	0.5264202414
449	0.5263643328
450	0.5263169598
451	0.5262664608
452	0.5262091535
453	0.5261618237
454	0.5260975892
455	0.5260410312
456	0.5259761969
457	0.5259206324
458	0.5258634282
459	0.5257950709
460	0.5257252144
461	0.5256941713
462	0.5256843026
463	0.5256337914
464	0.5256038569
