iter	Passed	Remaining
399	41684	62526
400	41788	62421
401	41879	62298
402	41983	62193
403	42077	62074
404	42175	61961
405	42276	61852
406	42379	61746
407	42479	61637
408	42582	61530
409	42686	61426
410	42786	61317
411	42879	61196
412	42970	61074
413	43064	60955
414	43163	60844
415	43262	60733
416	43360	60621
417	43459	60511
418	43566	60411
419	43669	60304
420	43773	60201
421	43875	60094
422	43980	59991
423	44080	59883
424	44181	59775
425	44280	59664
426	44378	59552
427	44478	59443
428	44575	59330
429	44672	59216
430	44765	59098
431	44862	58985
432	44955	58868
433	45052	58755
434	45151	58644
435	45245	58528
436	45342	58416
437	45439	58303
438	45541	58197
439	45641	58088
440	45743	57983
441	45848	57881
442	45952	57778
443	46058	57676
444	46163	57574
445	46262	57465
446	46369	57365
447	46476	57265
448	46579	57160
449	46678	57051
450	46777	56941
451	46874	56830
452	46986	56736
453	47085	56626
454	47187	56521
455	47290	56416
456	47383	56299
457	47483	56192
458	47586	56087
459	47683	55976
460	47783	55867
461	47877	55753
462	47963	55629
463	48054	55511
464	48150	55398
465	48239	55278
466	48339	55170
467	48441	55066
468	48540	54957
469	48638	54848
470	48743	54745
471	48846	54641
472	48951	54540
473	49055	54437
474	49161	54336
475	49266	54234
476	49366	54127
477	49478	54032
478	49584	53931
479	49688	53829
480	49784	53718
481	49881	53606
482	49984	53503
483	50092	53404
484	50198	53303
485	50306	53205
486	50417	53108
487	50528	53013
488	50636	52914
489	50745	52816
490	50853	52718
491	50957	52615
492	51092	52542
493	51204	52448
494	51312	52348
495	51420	52249
496	51526	52148
497	51646	52061
498	51750	51957
499	51861	51861
500	51969	51762
501	52076	51662
502	52175	51552
503	52273	51443
504	52372	51335
505	52486	51241
506	52591	51139
507	52724	51063
508	52857	50987
509	52972	50895
510	53104	50817
511	53219	50724
512	53328	50626
513	53435	50524
514	53538	50419
515	53648	50321
516	53767	50231
517	53889	50143
518	54009	50054
519	54122	49959
520	54226	49855
521	54334	49755
522	54445	49656
523	54555	49557
524	54664	49458
525	54773	49358
526	54877	49254
527	54982	49150
528	55087	49047
529	55190	48942
530	55287	48832
531	55391	48727
532	55495	48623
533	55599	48519
534	55707	48418
535	55806	48310
536	55906	48202
537	56011	48099
538	56109	47989
539	56205	47878
540	56315	47779
541	56409	47667
542	56511	47561
543	56607	47450
544	56707	47343
545	56806	47234
546	56908	47129
547	57013	47025
548	57120	46924
549	57227	46822
550	57324	46712
551	57430	46610
552	57538	46509
553	57637	46401
554	57748	46303
555	57856	46201
556	57969	46105
557	58081	46007
558	58188	45905
559	58300	45807
560	58419	45715
561	58523	45610
562	58627	45506
563	58731	45402
564	58832	45296
565	58928	45185
566	59028	45078
567	59126	44969
568	59224	44861
569	59325	44754
570	59426	44647
571	59527	44541
572	59630	44436
573	59736	44334
574	59844	44232
575	59948	44128
576	60056	44027
577	60177	43935
578	60286	43835
579	60382	43724
580	60479	43616
581	60584	43512
582	60685	43406
583	60789	43301
584	60883	43191
585	60985	43085
586	61092	42983
587	61190	42874
588	61295	42771
589	61404	42671
590	61501	42562
591	61598	42452
592	61701	42348
593	61803	42242
594	61907	42139
595	62012	42035
596	62120	41933
597	62222	41828
598	62325	41723
599	62423	41615
600	62524	41509
601	62630	41407
602	62740	41306
603	62848	41205
604	62951	41100
605	63054	40996
606	63163	40894
607	63275	40795
608	63381	40693
609	63488	40590
610	63602	40493
611	63709	40390
612	63817	40289
613	63924	40186
614	64032	40085
615	64139	39982
616	64245	39880
617	64347	39774
618	64448	39668
619	64554	39565
620	64661	39463
621	64769	39361
622	64873	39257
623	64971	39149
624	65071	39043
625	65171	38936
626	65272	38830
627	65377	38726
628	65482	38623
629	65586	38519
630	65691	38415
631	65796	38311
632	65900	38207
633	66010	38106
634	66114	38002
635	66228	37904
636	66349	37809
637	66469	37714
638	66572	37609
639	66677	37506
640	66787	37405
641	66896	37303
642	67009	37204
643	67116	37101
644	67220	36997
645	67313	36886
646	67415	36781
647	67524	36679
648	67614	36568
649	67721	36465
650	67832	36364
651	67946	36265
652	68049	36161
653	68150	36055
654	68258	35952
655	68371	35853
656	68489	35756
657	68605	35658
658	68716	35557
659	68819	35452
660	68920	35346
661	69014	35237
662	69112	35129
663	69207	35020
664	69299	34910
665	69405	34806
666	69508	34701
667	69617	34600
668	69721	34495
669	69825	34391
670	69936	34290
671	70046	34189
672	70150	34084
673	70264	33985
674	70382	33887
675	70497	33788
676	70609	33687
677	70718	33586
678	70824	33482
679	70941	33384
680	71048	33281
681	71160	33180
682	71272	33079
683	71377	32975
684	71488	32874
685	71599	32773
686	71708	32670
687	71813	32566
688	71915	32461
689	72022	32358
690	72118	32249
691	72222	32145
692	72314	32035
693	72410	31927
694	72500	31816
695	72605	31712
696	72706	31606
697	72806	31500
698	72906	31394
699	73009	31289
700	73114	31185
701	73223	31083
702	73325	30978
703	73432	30875
704	73536	30770
705	73645	30668
706	73752	30565
707	73863	30463
708	73977	30362
709	74087	30261
710	74196	30158
711	74305	30056
712	74411	29952
713	74510	29846
714	74616	29742
715	74718	29636
716	74817	29530
717	74920	29425
718	75030	29323
719	75147	29223
720	75262	29123
721	75366	29019
722	75481	28918
723	75588	28815
724	75695	28711
725	75803	28609
726	75909	28505
727	76017	28402
728	76122	28297
729	76223	28192
730	76328	28088
731	76433	27983
732	76548	27883
733	76652	27778
734	76758	27674
735	76863	27570
736	76976	27469
737	77086	27366
738	77189	27261
739	77294	27157
740	77399	27053
741	77509	26950
742	77614	26846
743	77722	26743
744	77828	26639
745	77933	26535
746	78046	26433
747	78148	26328
748	78251	26223
749	78360	26120
750	78472	26018
751	78578	25914
752	78677	25807
753	78780	25702
754	78883	25598
755	78989	25494
756	79091	25388
757	79198	25285
758	79293	25177
759	79401	25074
760	79507	24970
761	79615	24866
762	79724	24763
763	79835	24661
764	79944	24558
765	80054	24455
766	80159	24351
767	80264	24246
768	80362	24140
769	80465	24035
770	80572	23931
771	80679	23827
772	80792	23725
773	80900	23622
774	81008	23518
775	81110	23413
776	81224	23311
777	81337	23209
778	81445	23105
779	81554	23002
780	81668	22900
781	81771	22795
782	81884	22693
783	81984	22587
784	82082	22481
785	82176	22373
786	82277	22268
787	82376	22162
788	82472	22055
789	82573	21950
790	82673	21844
791	82771	21737
792	82881	21634
793	83002	21534
794	83108	21430
795	83214	21326
796	83330	21224
797	83446	21123
798	83558	21020
799	83676	20919
800	83797	20818
801	83894	20712
802	83991	20605
803	84088	20499
804	84183	20392
805	84283	20286
806	84386	20181
807	84486	20076
808	84592	19971
809	84690	19865
810	84788	19759
811	84895	19655
812	85000	19551
813	85105	19446
814	85215	19343
815	85321	19239
816	85429	19135
817	85538	19031
818	85658	18930
819	85766	18826
820	85880	18724
821	85993	18621
822	86105	18518
823	86215	18414
824	86327	18311
825	86432	18207
826	86527	18100
827	86634	17996
828	86743	17892
829	86854	17789
830	86966	17686
831	87075	17582
832	87181	17478
833	87291	17374
834	87399	17270
835	87502	17165
836	87605	17060
837	87709	16955
838	87815	16851
839	87909	16744
840	88012	16639
841	88116	16534
842	88219	16429
843	88313	16323
844	88427	16220
845	88542	16117
846	88649	16013
847	88766	15911
848	88872	15806
849	88986	15703
850	89099	15600
851	89215	15497
852	89325	15393
853	89440	15290
854	89549	15186
855	89664	15083
856	89779	14980
857	89890	14877
858	89993	14771
859	90095	14666
860	90201	14562
861	90310	14458
862	90410	14352
863	90513	14247
864	90617	14142
865	90729	14039
866	90825	13932
867	90923	13827
868	91027	13722
869	91130	13617
870	91221	13510
871	91313	13403
872	91405	13297
873	91501	13191
874	91602	13086
875	91703	12980
876	91805	12875
877	91909	12770
878	92016	12666
879	92128	12562
880	92236	12458
881	92340	12354
882	92450	12249
883	92552	12144
884	92662	12040
885	92774	11937
886	92886	11833
887	93003	11730
888	93118	11626
889	93232	11523
890	93344	11419
891	93454	11315
892	93564	11210
893	93657	11104
894	93761	10999
895	93865	10895
896	93961	10789
897	94064	10684
898	94164	10579
899	94265	10473
900	94373	10369
901	94477	10264
902	94588	10160
903	94693	10055
904	94801	9951
905	94908	9847
906	95017	9742
907	95124	9638
908	95226	9533
909	95330	9428
910	95429	9322
911	95534	9218
912	95633	9112
913	95738	9008
914	95852	8904
915	95959	8799
916	96068	8695
917	96183	8591
918	96295	8487
919	96405	8383
920	96506	8278
921	96623	8174
922	96735	8069
923	96846	7965
924	96957	7861
925	97061	7756
926	97159	7651
927	97273	7547
928	97378	7442
929	97478	7337
930	97587	7232
931	97697	7128
932	97795	7022
933	97896	6917
934	97996	6812
935	98097	6707
936	98200	6602
937	98307	6497
938	98404	6392
939	98499	6287
940	98595	6181
941	98694	6076
942	98793	5971
943	98897	5866
944	99000	5761
945	99105	5657
946	99221	5553
947	99327	5448
948	99433	5343
949	99538	5238
950	99647	5134
951	99758	5029
952	99878	4925
953	99978	4820
954	100090	4716
955	100196	4611
956	100305	4506
